,Symbol,Company Name
0,RELIANCE,Reliance Industries Limited
1,TCS,Tata Consultancy Services Limited
2,HDFCBANK,HDFC Bank Limited
3,ICICIBANK,ICICI Bank Limited
4,HINDUNILVR,Hindustan Unilever Limited
5,INFY,Infosys Limited
6,HDFC,Housing Development Finance Corporation Limited
7,ITC,ITC Limited
8,SBIN,State Bank of India
9,BHARTIARTL,Bharti Airtel Limited
10,KOTAKBANK,Kotak Mahindra Bank Limited
11,BAJFINANCE,Bajaj Finance Limited
12,LICI,Life Insurance Corporation Of India
13,LT,Larsen & Toubro Limited
14,HCLTECH,HCL Technologies Limited
15,ASIANPAINT,Asian Paints Limited
16,AXISBANK,Axis Bank Limited
17,MARUTI,Maruti Suzuki India Limited
18,SUNPHARMA,Sun Pharmaceutical Industries Limited
19,TITAN,Titan Company Limited
20,DMART,Avenue Supermarts Limited
21,ULTRACEMCO,UltraTech Cement Limited
22,BAJAJFINSV,Bajaj Finserv Limited
23,WIPRO,Wipro Limited
24,ADANIENT,Adani Enterprises Limited
25,ONGC,Oil & Natural Gas Corporation Limited
26,NTPC,NTPC Limited
27,JSWSTEEL,JSW Steel Limited
28,POWERGRID,Power Grid Corporation of India Limited
29,M&M,Mahindra & Mahindra Limited
30,LTIM,LTIMindtree Limited
31,TATAMOTORS,Tata Motors Limited
32,ADANIGREEN,Adani Green Energy Limited
33,ADANIPORTS,Adani Ports and Special Economic Zone Limited
34,COALINDIA,Coal India Limited
35,TATASTEEL,Tata Steel Limited
36,HINDZINC,Hindustan Zinc Limited
37,PIDILITIND,Pidilite Industries Limited
38,SIEMENS,Siemens Limited
39,ADANITRANS,Adani Transmission Limited
40,SBILIFE,SBI Life Insurance Company Limited
41,IOC,Indian Oil Corporation Limited
42,BAJAJ-AUTO,Bajaj Auto Limited
43,GRASIM,Grasim Industries Limited
44,TECHM,Tech Mahindra Limited
45,HDFCLIFE,HDFC Life Insurance Company Limited
46,BRITANNIA,Britannia Industries Limited
47,VEDL,Vedanta Limited
48,GODREJCP,Godrej Consumer Products Limited
49,DABUR,Dabur India Limited
50,ATGL,Adani Total Gas Limited
51,SHREECEM,SHREE CEMENT LIMITED
52,HAL,Hindustan Aeronautics Limited
53,HINDALCO,Hindalco Industries Limited
54,VBL,Varun Beverages Limited
55,DLF,DLF Limited
56,BANKBARODA,Bank of Baroda
57,INDUSINDBK,IndusInd Bank Limited
58,EICHERMOT,Eicher Motors Limited
59,DRREDDY,Dr. Reddy's Laboratories Limited
60,DIVISLAB,Divi's Laboratories Limited
61,BPCL,Bharat Petroleum Corporation Limited
62,HAVELLS,Havells India Limited
63,ADANIPOWER,Adani Power Limited
64,INDIGO,InterGlobe Aviation Limited
65,CIPLA,Cipla Limited
66,AMBUJACEM,Ambuja Cements Limited
67,SRF,SRF Limited
68,ABB,ABB India Limited
69,BEL,Bharat Electronics Limited
70,SBICARD,SBI Cards and Payment Services Limited
71,GAIL,GAIL (India) Limited
72,BAJAJHLDNG,Bajaj Holdings & Investment Limited
73,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
74,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
75,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
76,MARICO,Marico Limited
77,APOLLOHOSP,Apollo Hospitals Enterprise Limited
78,TATAPOWER,Tata Power Company Limited
79,BOSCHLTD,Bosch Limited
80,BERGEPAINT,Berger Paints (I) Limited
81,JINDALSTEL,Jindal Steel & Power Limited
82,MCDOWELL-N,United Spirits Limited
83,UPL,UPL Limited
84,AWL,Adani Wilmar Limited
85,ICICIGI,ICICI Lombard General Insurance Company Limited
86,TORNTPHARM,Torrent Pharmaceuticals Limited
87,CANBK,Canara Bank
88,PNB,Punjab National Bank
89,TVSMOTOR,TVS Motor Company Limited
90,ZYDUSLIFE,Zydus Lifesciences Limited
91,TIINDIA,Tube Investments of India Limited
92,TRENT,Trent Limited
93,IDBI,IDBI Bank Limited
94,NAUKRI,Info Edge (India) Limited
95,SHRIRAMFIN,Shriram Finance Limited
96,HEROMOTOCO,Hero MotoCorp Limited
97,INDHOTEL,The Indian Hotels Company Limited
98,PIIND,PI Industries Limited
99,IRCTC,Indian Railway Catering And Tourism Corporation Limited
100,CGPOWER,CG Power and Industrial Solutions Limited
101,UNIONBANK,Union Bank of India
102,MOTHERSON,Samvardhana Motherson International Limited
103,CUMMINSIND,Cummins India Limited
104,SCHAEFFLER,Schaeffler India Limited
105,LODHA,Macrotech Developers Limited
106,ZOMATO,Zomato Limited
107,PGHH,Procter & Gamble Hygiene and Health Care Limited
108,YESBANK,Yes Bank Limited
109,POLYCAB,Polycab India Limited
110,MAXHEALTH,Max Healthcare Institute Limited
111,IOB,Indian Overseas Bank
112,PAGEIND,Page Industries Limited
113,COLPAL,Colgate Palmolive (India) Limited
114,ASHOKLEY,Ashok Leyland Limited
115,ALKEM,Alkem Laboratories Limited
116,NHPC,NHPC Limited
117,PAYTM,One 97 Communications Limited
118,PFC,Power Finance Corporation Limited
119,JSWENERGY,JSW Energy Limited
120,MUTHOOTFIN,Muthoot Finance Limited
121,AUBANK,AU Small Finance Bank Limited
122,INDUSTOWER,Indus Towers Limited
123,BALKRISIND,Balkrishna Industries Limited
124,UBL,United Breweries Limited
125,ABCAPITAL,Aditya Birla Capital Limited
126,TATAELXSI,Tata Elxsi Limited
127,DALBHARAT,Dalmia Bharat Limited
128,HDFCAMC,HDFC Asset Management Company Limited
129,INDIANB,Indian Bank
130,ASTRAL,Astral Limited
131,BHARATFORG,Bharat Forge Limited
132,LTTS,L&T Technology Services Limited
133,MRF,MRF Limited
134,TATACOMM,Tata Communications Limited
135,NYKAA,FSN E-Commerce Ventures Limited
136,CONCOR,Container Corporation of India Limited
137,PERSISTENT,Persistent Systems Limited
138,PATANJALI,Patanjali Foods Limited
139,IRFC,Indian Railway Finance Corporation Limited
140,LINDEINDIA,Linde India Limited
141,IDFCFIRSTB,IDFC First Bank Limited
142,PETRONET,Petronet LNG Limited
143,SOLARINDS,Solar Industries India Limited
144,SAIL,Steel Authority of India Limited
145,MPHASIS,MphasiS Limited
146,HINDPETRO,Hindustan Petroleum Corporation Limited
147,APLAPOLLO,APL Apollo Tubes Limited
148,FLUOROCHEM,Gujarat Fluorochemicals Limited
149,NMDC,NMDC Limited
150,HONAUT,Honeywell Automation India Limited
151,SUPREMEIND,Supreme Industries Limited
152,GUJGASLTD,Gujarat Gas Limited
153,BANDHANBNK,Bandhan Bank Limited
154,ACC,ACC Limited
155,OBEROIRLTY,Oberoi Realty Limited
156,BANKINDIA,Bank of India
157,RECLTD,REC Limited
158,AUROPHARMA,Aurobindo Pharma Limited
159,STARHEALTH,Star Health and Allied Insurance Company Limited
160,IGL,Indraprastha Gas Limited
161,LUPIN,Lupin Limited
162,UCOBANK,UCO Bank
163,JUBLFOOD,Jubilant Foodworks Limited
164,POLICYBZR,PB Fintech Limited
165,GODREJPROP,Godrej Properties Limited
166,M&MFIN,Mahindra & Mahindra Financial Services Limited
167,IDEA,Vodafone Idea Limited
168,OFSS,Oracle Financial Services Software Limited
169,FEDERALBNK,The Federal Bank  Limited
170,MANYAVAR,Vedant Fashions Limited
171,UNOMINDA,UNO Minda Limited
172,AIAENG,AIA Engineering Limited
173,THERMAX,Thermax Limited
174,OIL,Oil India Limited
175,VOLTAS,Voltas Limited
176,3MINDIA,3M India Limited
177,COROMANDEL,Coromandel International Limited
178,SUNDARMFIN,Sundaram Finance Limited
179,KPITTECH,KPIT Technologies Limited
180,DEEPAKNTR,Deepak Nitrite Limited
181,ESCORTS,Escorts Kubota Limited
182,BIOCON,Biocon Limited
183,TATACHEM,Tata Chemicals Limited
184,TORNTPOWER,Torrent Power Limited
185,GMRINFRA,GMR Airports Infrastructure Limited
186,BHEL,Bharat Heavy Electricals Limited
187,SONACOMS,Sona BLW Precision Forgings Limited
188,DELHIVERY,Delhivery Limited
189,SYNGENE,Syngene International Limited
190,CRISIL,CRISIL Limited
